        ks(1/s)        ksr(1/s)       ksnr(1/s)       kisc(1/s)         kt(1/s)        ktr(1/s)       ktnr(1/s)      krisc(1/s)       phi_sr(%)      phi_snr(%)      phi_isc(%)       phi_tr(%)      phi_tnr(%)     phi_risc(%)
    4.97279e+07     2.96632e+07     3.29591e+06     1.67688e+07     7.98439e+05     0.00000e+00     0.00000e+00     7.98439e+05        59.65096         6.62788        33.72115         0.00000         0.00000       100.00000
    4.97279e+07     2.96632e+07     3.27934e+06     1.67854e+07     7.98439e+05     0.00000e+00     7.87830e+02     7.97651e+05        59.65096         6.59458        33.75446         0.00000         0.09867        99.90133
    4.97279e+07     2.96632e+07     3.26278e+06     1.68019e+07     7.98439e+05     0.00000e+00     1.57411e+03     7.96865e+05        59.65096         6.56127        33.78776         0.00000         0.19715        99.80285
    4.97279e+07     2.96632e+07     3.24622e+06     1.68185e+07     7.98439e+05     0.00000e+00     2.35883e+03     7.96080e+05        59.65096         6.52797        33.82107         0.00000         0.29543        99.70457
    4.97279e+07     2.96632e+07     3.22966e+06     1.68351e+07     7.98439e+05     0.00000e+00     3.14202e+03     7.95297e+05        59.65096         6.49466        33.85438         0.00000         0.39352        99.60648
    4.97279e+07     2.96632e+07     3.21309e+06     1.68516e+07     7.98439e+05     0.00000e+00     3.92366e+03     7.94515e+05        59.65096         6.46136        33.88768         0.00000         0.49142        99.50858
    4.97279e+07     2.96632e+07     3.19653e+06     1.68682e+07     7.98439e+05     0.00000e+00     4.70377e+03     7.93735e+05        59.65096         6.42805        33.92099         0.00000         0.58912        99.41088
    4.97279e+07     2.96632e+07     3.17997e+06     1.68847e+07     7.98439e+05     0.00000e+00     5.48235e+03     7.92956e+05        59.65096         6.39474        33.95429         0.00000         0.68663        99.31337
    4.97279e+07     2.96632e+07     3.16341e+06     1.69013e+07     7.98439e+05     0.00000e+00     6.25940e+03     7.92179e+05        59.65096         6.36144        33.98760         0.00000         0.78396        99.21604
    4.97279e+07     2.96632e+07     3.14685e+06     1.69179e+07     7.98439e+05     0.00000e+00     7.03493e+03     7.91404e+05        59.65096         6.32813        34.02091         0.00000         0.88109        99.11891
    4.97279e+07     2.96632e+07     3.13028e+06     1.69344e+07     7.98439e+05     0.00000e+00     7.80895e+03     7.90630e+05        59.65096         6.29483        34.05421         0.00000         0.97803        99.02197
    4.97279e+07     2.96632e+07     3.11372e+06     1.69510e+07     7.98439e+05     0.00000e+00     8.58145e+03     7.89857e+05        59.65096         6.26152        34.08752         0.00000         1.07478        98.92522
    4.97279e+07     2.96632e+07     3.09716e+06     1.69676e+07     7.98439e+05     0.00000e+00     9.35244e+03     7.89086e+05        59.65096         6.22821        34.12082         0.00000         1.17134        98.82866
    4.97279e+07     2.96632e+07     3.08060e+06     1.69841e+07     7.98439e+05     0.00000e+00     1.01219e+04     7.88317e+05        59.65096         6.19491        34.15413         0.00000         1.26772        98.73228
    4.97279e+07     2.96632e+07     3.06403e+06     1.70007e+07     7.98439e+05     0.00000e+00     1.08899e+04     7.87549e+05        59.65096         6.16160        34.18743         0.00000         1.36390        98.63610
    4.97279e+07     2.96632e+07     3.04747e+06     1.70172e+07     7.98439e+05     0.00000e+00     1.16564e+04     7.86782e+05        59.65096         6.12830        34.22074         0.00000         1.45990        98.54010
    4.97279e+07     2.96632e+07     3.03091e+06     1.70338e+07     7.98439e+05     0.00000e+00     1.24214e+04     7.86017e+05        59.65096         6.09499        34.25405         0.00000         1.55571        98.44429
    4.97279e+07     2.96632e+07     3.01435e+06     1.70504e+07     7.98439e+05     0.00000e+00     1.31849e+04     7.85254e+05        59.65096         6.06168        34.28735         0.00000         1.65134        98.34866
    4.97279e+07     2.96632e+07     2.99778e+06     1.70669e+07     7.98439e+05     0.00000e+00     1.39470e+04     7.84492e+05        59.65096         6.02838        34.32066         0.00000         1.74678        98.25322
    4.97279e+07     2.96632e+07     2.98122e+06     1.70835e+07     7.98439e+05     0.00000e+00     1.47075e+04     7.83731e+05        59.65096         5.99507        34.35396         0.00000         1.84204        98.15796
    4.97279e+07     2.96632e+07     2.96466e+06     1.71001e+07     7.98439e+05     0.00000e+00     1.54666e+04     7.82972e+05        59.65096         5.96177        34.38727         0.00000         1.93711        98.06289
    4.97279e+07     2.96632e+07     2.94810e+06     1.71166e+07     7.98439e+05     0.00000e+00     1.62242e+04     7.82214e+05        59.65096         5.92846        34.42058         0.00000         2.03200        97.96800
    4.97279e+07     2.96632e+07     2.93153e+06     1.71332e+07     7.98439e+05     0.00000e+00     1.69804e+04     7.81458e+05        59.65096         5.89515        34.45388         0.00000         2.12670        97.87330
