        ks(1/s)        ksr(1/s)       ksnr(1/s)       kisc(1/s)         kt(1/s)        ktr(1/s)       ktnr(1/s)      krisc(1/s)       phi_sr(%)      phi_snr(%)      phi_isc(%)       phi_tr(%)      phi_tnr(%)     phi_risc(%)
    6.66079e+07     4.67080e+07     1.02530e+07     9.64688e+06     4.03583e+05     0.00000e+00    -5.82077e-11     4.03583e+05        70.12387        15.39304        14.48308         0.00000        -0.00000       100.00000
    6.66079e+07     4.67080e+07     1.02015e+07     9.69840e+06     4.03583e+05     0.00000e+00     2.14403e+03     4.01439e+05        70.12387        15.31569        14.56044         0.00000         0.53125        99.46875
    6.66079e+07     4.67080e+07     1.01499e+07     9.74992e+06     4.03583e+05     0.00000e+00     4.26539e+03     3.99318e+05        70.12387        15.23834        14.63779         0.00000         1.05688        98.94312
    6.66079e+07     4.67080e+07     1.00984e+07     9.80145e+06     4.03583e+05     0.00000e+00     6.36446e+03     3.97219e+05        70.12387        15.16099        14.71514         0.00000         1.57699        98.42301
    6.66079e+07     4.67080e+07     1.00469e+07     9.85297e+06     4.03583e+05     0.00000e+00     8.44157e+03     3.95141e+05        70.12387        15.08364        14.79249         0.00000         2.09166        97.90834
    6.66079e+07     4.67080e+07     9.99537e+06     9.90449e+06     4.03583e+05     0.00000e+00     1.04971e+04     3.93086e+05        70.12387        15.00629        14.86984         0.00000         2.60097        97.39903
    6.66079e+07     4.67080e+07     9.94385e+06     9.95601e+06     4.03583e+05     0.00000e+00     1.25313e+04     3.91052e+05        70.12387        14.92893        14.94720         0.00000         3.10501        96.89499
    6.66079e+07     4.67080e+07     9.89233e+06     1.00075e+07     4.03583e+05     0.00000e+00     1.45446e+04     3.89038e+05        70.12387        14.85158        15.02455         0.00000         3.60386        96.39614
    6.66079e+07     4.67080e+07     9.84081e+06     1.00591e+07     4.03583e+05     0.00000e+00     1.65372e+04     3.87046e+05        70.12387        14.77423        15.10190         0.00000         4.09760        95.90240
    6.66079e+07     4.67080e+07     9.78928e+06     1.01106e+07     4.03583e+05     0.00000e+00     1.85096e+04     3.85073e+05        70.12387        14.69688        15.17925         0.00000         4.58631        95.41369
    6.66079e+07     4.67080e+07     9.73776e+06     1.01621e+07     4.03583e+05     0.00000e+00     2.04619e+04     3.83121e+05        70.12387        14.61953        15.25660         0.00000         5.07007        94.92993
    6.66079e+07     4.67080e+07     9.68624e+06     1.02136e+07     4.03583e+05     0.00000e+00     2.23946e+04     3.81188e+05        70.12387        14.54217        15.33396         0.00000         5.54894        94.45106
    6.66079e+07     4.67080e+07     9.63472e+06     1.02652e+07     4.03583e+05     0.00000e+00     2.43078e+04     3.79275e+05        70.12387        14.46482        15.41131         0.00000         6.02300        93.97700
    6.66079e+07     4.67080e+07     9.58319e+06     1.03167e+07     4.03583e+05     0.00000e+00     2.62020e+04     3.77381e+05        70.12387        14.38747        15.48866         0.00000         6.49234        93.50766
    6.66079e+07     4.67080e+07     9.53167e+06     1.03682e+07     4.03583e+05     0.00000e+00     2.80773e+04     3.75506e+05        70.12387        14.31012        15.56601         0.00000         6.95700        93.04300
    6.66079e+07     4.67080e+07     9.48015e+06     1.04197e+07     4.03583e+05     0.00000e+00     2.99340e+04     3.73649e+05        70.12387        14.23277        15.64336         0.00000         7.41707        92.58293
    6.66079e+07     4.67080e+07     9.42863e+06     1.04712e+07     4.03583e+05     0.00000e+00     3.17725e+04     3.71810e+05        70.12387        14.15541        15.72072         0.00000         7.87262        92.12738
    6.66079e+07     4.67080e+07     9.37710e+06     1.05228e+07     4.03583e+05     0.00000e+00     3.35930e+04     3.69990e+05        70.12387        14.07806        15.79807         0.00000         8.32370        91.67630
